gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,guf_count,guf_sum,guf_mean,Shape_Area
"3968",Kadupagama,"7151165","7","71","7151",37218.000000000000000,11220.000000000000000,0.301467032081251,5600506.24
"4910",Gangoda,"6154110","6","61","6154",3654.000000000000000,508470.000000000000000,139.154351395730714,550256.50
"5045",Mallawapitiya,"6157100","6","61","6157",5166.000000000000000,784635.000000000000000,151.884436701509884,780398.02
"3971",Kuttikulama,"7151045","7","71","7151",34671.000000000000000,0.000000000000000,0.000000000000000,5215392.39
"3972",Labunoruwa,"7151170","7","71","7151",47289.000000000000000,30855.000000000000000,0.652477320307048,7113280.14
"3973",Mahakanumulla,"7151130","7","71","7151",30509.000000000000000,70635.000000000000000,2.315218460126520,4591713.72
"3976",Meewellewa,"7151070","7","71","7151",65491.000000000000000,0.000000000000000,0.000000000000000,9856078.59
"246",Mudagammana,"2134240","2","21","2134",5672.000000000000000,1020.000000000000000,0.179830747531735,854562.15
"4084",Bopura,"7203125","7","72","7203",4995.000000000000000,307785.000000000000000,61.618618618618619,752660.76
"243",Lechchimimenila,"2134185","2","21","2134",2135.000000000000000,64005.000000000000000,29.978922716627636,321982.32
"1424",Diyankaduwa,"2209190","2","22","2209",6306.000000000000000,0.000000000000000,0.000000000000000,950161.35
"244",Mawathagama,"2134110","2","21","2134",5053.000000000000000,0.000000000000000,0.000000000000000,760681.99
"247",Muruddeniya,"2134140","2","21","2134",6157.000000000000000,0.000000000000000,0.000000000000000,926756.31
"245",Meegasthenna,"2134170","2","21","2134",3155.000000000000000,4590.000000000000000,1.454833597464342,476182.96
"3978",Pahala Abatale,"7151175","7","71","7151",52881.000000000000000,8670.000000000000000,0.163953026606910,7957665.44
"3979",Paidikulama,"7151120","7","71","7151",73439.000000000000000,130815.000000000000000,1.781274254823731,11048370.51
"3980",Pairimaduwa,"7151040","7","71","7151",30093.000000000000000,72420.000000000000000,2.406539726846775,4525277.49
"3981",Perimiyankulama,"7151020","7","71","7151",70794.000000000000000,54825.000000000000000,0.774430036443766,10651105.28
"264",Weligodapola,"2134095","2","21","2134",5908.000000000000000,1785.000000000000000,0.302132701421801,889531.72
"3982",Periyakulama,"7151060","7","71","7151",18554.000000000000000,28560.000000000000000,1.539290718982430,2790027.29
"3983",Pethis Rambewa,"7151155","7","71","7151",37596.000000000000000,0.000000000000000,0.000000000000000,5658132.07
"4088",Chethiyagirigama,"7203230","7","72","7203",3799.000000000000000,77520.000000000000000,20.405369834166887,571944.10
"4194",Sansungama,"7206210","7","72","7206",10565.000000000000000,765.000000000000000,0.072408897302414,1590821.57
"4046",Veheragala,"7212205","7","72","7212",38387.000000000000000,42075.000000000000000,1.096074191783677,5782730.03
"3985",Sandapagama,"7151200","7","71","7151",17595.000000000000000,149430.000000000000000,8.492753623188406,2646993.18
"3986",Selesthimaduwa,"7151110","7","71","7151",71447.000000000000000,4590.000000000000000,0.064243425196299,10749739.73
"3987",Sembukulama,"7151100","7","71","7151",81659.000000000000000,77520.000000000000000,0.949313609032685,12282935.53
"3990",Uttimaduwa,"7151030","7","71","7151",77525.000000000000000,6120.000000000000000,0.078942276684940,11663122.18
"3991",Uttupitiya,"7151205","7","71","7151",33660.000000000000000,268770.000000000000000,7.984848484848484,5066778.96
"3992",Walagambahuwa,"7151125","7","71","7151",39697.000000000000000,15045.000000000000000,0.378995893896264,5969987.85
"3993",Wanamal Uyana,"7151145","7","71","7151",122751.000000000000000,47685.000000000000000,0.388469340371973,18468583.01
"3994",Wannamkulama,"7151025","7","71","7151",23521.000000000000000,0.000000000000000,0.000000000000000,3536455.86
"3995",Wannammaduwa,"7151085","7","71","7151",44453.000000000000000,26265.000000000000000,0.590848761613389,6690088.60
"3996",Wellamudawa,"7151105","7","71","7151",39098.000000000000000,12750.000000000000000,0.326103637014681,5883345.65
